price,games_played,goals,assists,goal_contributions,total_points,points_per_game,roi,position,team,minutes,FDR_Ave
5.0,2,0,0,0,3,1.5,0.6,MID,Wolves,173,-0.07894736842105263
4.5,2,0,0,0,1,0.5,0.2222,GK,Wolves,180,-0.07894736842105263
4.9,0,0,0,0,0,0.0,0.0,FWD,Wolves,0,-0.07894736842105263
4.0,0,0,0,0,0,0.0,0.0,GK,Wolves,0,-0.07894736842105263
5.0,2,0,0,0,4,2.0,0.8,MID,Wolves,179,-0.07894736842105263
4.0,2,0,0,0,-1,-0.5,-0.25,DEF,Wolves,180,-0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,DEF,Wolves,0,-0.07894736842105263
4.0,0,0,0,0,0,0.0,0.0,DEF,Wolves,0,-0.07894736842105263
5.5,0,0,0,0,2,1.0,0.3636,MID,Wolves,46,-0.07894736842105263
5.5,1,0,0,0,3,1.5,0.5455,MID,Wolves,96,-0.07894736842105263
4.5,0,0,0,0,0,0.0,0.0,DEF,Wolves,0,-0.07894736842105263
5.4,0,0,0,0,2,1.0,0.3704,MID,Wolves,28,-0.07894736842105263
5.5,2,1,0,1,8,4.0,1.455,FWD,Wolves,173,-0.07894736842105263
4.5,2,0,1,1,2,1.0,0.4444,DEF,Wolves,180,-0.07894736842105263
4.0,0,0,0,0,0,0.0,0.0,DEF,Wolves,0,-0.07894736842105263
