name,price,team,goals,assists,goal_contributions,games_played,minutes,total_points,points_per_game,roi,position,FDR_Average
Quansah,4.5,Liverpool,2,0,2,13,1188,49,2.9,10.89,DEF,10.210526315789474
Robertson,6.0,Liverpool,3,2,5,18,1689,76,3.3,12.67,DEF,10.210526315789474
Szoboszlai,6.5,Liverpool,3,4,7,25,2102,99,3.0,15.23,MID,10.210526315789474
Tsimikas,5.0,Liverpool,0,3,3,8,675,48,3.7,9.6,DEF,10.210526315789474
Virgil,6.0,Liverpool,2,2,4,36,3177,117,3.2,19.5,DEF,10.210526315789474
Akanji,5.5,Man City,2,0,2,28,2512,112,3.7,20.36,DEF,13.368421052631584
Aké,5.5,Man City,2,3,5,24,2039,99,3.4,18.0,DEF,13.368421052631584
Bernardo,6.5,Man City,6,9,15,29,2576,141,4.3,21.69,MID,13.368421052631584
Bobb,5.0,Man City,1,2,3,2,294,30,2.1,6.0,MID,13.368421052631584
De Bruyne,9.5,Man City,4,10,14,15,1219,98,5.4,10.32,MID,13.368421052631584
Doku,6.5,Man City,3,10,13,18,1585,98,3.4,15.08,MID,13.368421052631584
Ederson M.,5.5,Man City,0,0,0,33,2785,112,3.4,20.36,GK,13.368421052631584
Foden,9.5,Man City,19,8,27,33,2860,230,6.6,24.21,MID,13.368421052631584
Grealish,6.5,Man City,3,1,4,10,998,50,2.5,7.692,MID,13.368421052631584
Gvardiol,6.0,Man City,4,2,6,26,2327,123,4.4,20.5,DEF,13.368421052631584
Haaland,15.0,Man City,27,8,35,29,2553,217,7.0,14.47,FWD,13.368421052631584
J.Alvarez,7.0,Man City,11,11,22,31,2644,158,4.4,22.57,FWD,13.368421052631584
Kovačić,5.5,Man City,1,0,1,16,1539,59,2.0,10.73,MID,13.368421052631584
Lewis,4.5,Man City,2,0,2,8,804,52,3.2,11.56,DEF,13.368421052631584
Matheus N.,5.0,Man City,0,2,2,9,831,32,1.7,6.4,MID,13.368421052631584
McAtee,5.0,Man City,3,4,7,20,1815,77,2.5,15.4,MID,13.368421052631584
Ortega Moreno,5.5,Man City,0,0,0,5,632,22,2.4,4.0,GK,13.368421052631584
Rodrigo,6.5,Man City,8,10,18,34,2931,159,4.7,24.46,MID,13.368421052631584
Rúben,5.5,Man City,0,0,0,28,2557,88,2.9,16.0,DEF,13.368421052631584
Stones,5.5,Man City,1,0,1,12,1061,53,3.3,9.636,DEF,13.368421052631584
Walker,5.5,Man City,0,5,5,30,2766,123,3.8,22.36,DEF,13.368421052631584
Amad,5.0,Man Utd,1,1,2,3,385,23,2.6,4.6,MID,2.4912280701754375
